RA;ano_dados;fase;idade;genero;anos_ingresso;instituicao;pedra_atual;inde_atual;indicador_auto_avaliacao;indicador_engajamento;indicador_psicossocial;indicador_aprendizagem;indicador_ponto_virada;indicador_adequacao_nivel;indicador_psico_pedagogico;defasagem
32;2022;6;16;F;4;Privada;Ametista;7,37;8,8;5,2;8,8;6,1;7,944;10,0;7,612;0
33;2022;6;17;F;2;Pública;Quartzo;4,952;0,0;4,6;7,5;4,8;6,0;5,0;6,22;-1
34;2022;6;17;M;6;Privada;Ágata;6,259;9,6;4,8;8,1;3,8;7,278;5,0;8,134;-1
35;2022;6;17;F;3;Privada;Topázio;8,965;10,0;9,6;9,4;8,5;10,0;5,0;9,05;-1
36;2022;6;17;F;3;Privada;Ametista;7,876;9,2;9,0;6,9;6,8;8,944;5,0;8,172;-1
37;2022;6;17;F;3;Privada;Quartzo;4,95;0,0;5,4;5,0;5,9;5,222;5,0;6,456;-1
38;2022;6;17;F;5;Privada;Topázio;8,523;9,2;8,9;7,5;8,6;9,833;5,0;8,864;-1
39;2022;6;16;F;5;Privada;Ágata;6,033;0,0;4,8;6,9;6,9;6,111;10,0;7,808;0
40;2022;5;16;F;6;Privada;Ametista;7,203;7,9;7,8;7,5;6,8;7,75;5,0;6,93;-1
41;2022;5;17;M;4;Pública;Quartzo;5,581;9,2;6,1;5,0;5,6;4,375;5,0;4,46;-2
42;2022;5;15;M;3;Privada;Ágata;6,72;8,3;7,9;5,6;4,8;6,083;10,0;5,734;0
43;2022;5;16;F;3;Pública;Quartzo;5,486;6,3;6,5;5,6;4,3;5,958;5,0;4,444;-1
44;2022;5;17;F;1;Pública;Quartzo;5,542;5,0;5,9;7,5;3,0;7,292;5,0;5,536;-2
45;2022;5;15;F;3;Privada;Ametista;7,591;7,9;8,9;5,6;6,8;7,417;10,0;6,176;0
46;2022;5;17;F;0;Pública;Ágata;6,048;8,8;8,4;6,3;2,1;7,083;5,0;5,214;-2
47;2022;5;17;F;0;Pública;Quartzo;5,677;7,9;6,3;7,5;2,1;7,042;5,0;5,486;-2
48;2022;5;15;F;5;Privada;Ametista;8,006;6,7;8,4;7,5;8,1;8,5;10,0;5,86;0
49;2022;5;17;F;0;Pública;Ágata;6,304;7,5;7,4;7,5;3,9;7,042;5,0;6,356;-2
50;2022;5;18;F;0;Pública;Ametista;7,138;7,5;8,4;7,5;7,8;7,542;2,5;6,396;-3
51;2022;5;17;F;0;Pública;Ágata;6,488;8,8;7,6;7,5;5,0;6,5;5,0;5,38;-2
52;2022;5;13;M;4;Privada;Ametista;7,861;9,6;8,9;7,5;6,2;7,5;10,0;6,31;2
53;2022;5;17;M;0;Pública;Ágata;6,725;9,2;7,0;7,5;7,0;6,458;5,0;4,634;-2
54;2022;5;16;F;0;Pública;Ágata;6,058;7,9;6,9;7,5;4,8;6,125;5,0;4,53;-1
55;2022;5;16;F;5;Pública;Ágata;6,576;7,1;7,6;5,6;7,5;6,5;5,0;4,86;-1
56;2022;5;15;F;3;Privada;Topázio;8,404;10,0;10,0;7,5;7,0;8,25;10,0;6,04;0
57;2022;5;16;M;5;Privada;Ametista;7,305;7,1;8,1;5,6;8,4;7,875;5,0;6,6;-1
58;2022;5;15;M;5;Privada;Topázio;8,136;9,6;9,2;6,3;7,2;8,125;10,0;6,41;0
59;2022;5;17;M;0;Pública;Ametista;7,642;9,2;9,3;7,5;7,2;7,917;5,0;5,886;-2
60;2022;5;18;F;1;Pública;Quartzo;5,537;6,7;6,0;7,5;4,9;6,167;2,5;4,536;-3
61;2022;5;15;M;1;Pública;Ametista;7,533;9,2;7,4;7,5;5,8;7,875;10,0;6,48;0
62;2022;5;17;M;0;Pública;Ametista;7,891;8,8;9,4;7,5;9,3;7,25;5,0;5,71;-2
63;2022;5;16;M;4;Privada;Topázio;8,282;8,3;9,1;8,8;8,7;9,417;5,0;6,286;-1
64;2022;5;16;M;3;Pública;Ametista;7,368;7,1;8,1;8,1;7,5;8,25;5,0;5,78;-1
65;2022;5;17;F;0;Pública;Ametista;7,712;8,3;7,7;7,5;9,3;7,875;5,0;6,57;-2
66;2022;5;17;F;0;Pública;Quartzo;5,665;7,5;5,6;7,5;4,5;5,917;5,0;4,616;-2
67;2022;5;16;F;3;Pública;Quartzo;5,195;5,8;3,0;7,5;3,6;6,889;5,0;6,672;-1
68;2022;5;16;M;3;Pública;Ágata;6,438;8,3;6,0;7,5;4,0;7,944;5,0;7,692;-1
69;2022;5;16;M;4;Pública;Quartzo;5,718;8,3;6,1;7,5;2,5;6,167;5,0;6,846;-1
70;2022;5;16;F;5;Pública;Quartzo;5,712;8,8;6,6;5,0;2,9;6,111;5,0;7,098;-1
71;2022;5;17;F;3;Pública;Quartzo;4,332;7,9;2,0;7,5;1,2;5,833;5,0;4,854;-2
72;2022;5;17;F;0;Pública;Ametista;7,64;8,3;7,5;7,5;7,8;8,667;5,0;7,666;-2
73;2022;5;17;F;0;Pública;Quartzo;5,271;7,1;3,0;7,5;3,3;7,278;5,0;5,954;-2
74;2022;5;16;M;0;Pública;Quartzo;4,989;9,6;3,3;7,5;2,0;5,833;5,0;5,524;-1
75;2022;5;16;F;0;Pública;Quartzo;3,915;5,4;3,8;6,3;0,0;4,625;5,0;5,6;-1
76;2022;5;15;F;5;Privada;Topázio;9,105;10,0;9,1;8,1;8,7;9,292;10,0;8,766;0
77;2022;5;16;M;3;Pública;Quartzo;3,846;7,1;2,7;5,0;0,7;4,625;5,0;5,31;-1
78;2022;5;17;M;4;Privada;Ametista;7,04;8,3;6,6;5,6;7,2;8,0;5,0;7,9;-2
79;2022;5;16;F;4;Privada;Ágata;6,847;5,4;6,3;5,6;8,9;7,292;5,0;7,486;-1
80;2022;5;16;F;5;Privada;Ametista;7,29;9,2;8,3;5,0;7,1;7,625;5,0;7,65;-1
81;2022;5;14;F;5;Privada;Ametista;7,675;9,2;9,2;5,0;6,0;7,458;10,0;7,234;1
82;2022;5;17;F;0;Pública;Ágata;6,596;8,8;6,8;7,5;5,5;6,417;5,0;7,226;-2
83;2022;5;17;F;0;Pública;Ágata;6,671;7,9;6,8;7,5;6,8;5,958;5,0;7,194;-2
84;2022;5;17;F;4;Privada;Ágata;6,682;7,1;8,8;5,0;5,8;6,75;5,0;7,02;-2
85;2022;5;15;M;0;Pública;Ágata;6,243;6,7;7,3;5,0;4,3;5,833;10,0;5,864;0
86;2022;5;16;M;6;Privada;Ametista;7,566;7,5;9,6;5,6;6,7;8,458;5,0;8,044;-1
87;2022;5;15;M;1;Privada;Topázio;8,712;8,3;9,6;7,5;8,8;8,5;10,0;7,52;0
88;2022;5;17;M;1;Pública;Ametista;7,498;7,1;9,2;5,6;6,5;9,208;5,0;7,464;-2
89;2022;5;16;M;1;Pública;Ametista;7,323;9,6;7,8;7,5;5,9;8,0;5,0;7,73;-1
90;2022;5;13;F;3;Privada;Topázio;9,442;10,0;9,7;9,4;8,5;9,75;10,0;9,12;2
91;2022;5;16;F;6;Privada;Ágata;6,645;9,2;5,7;5,6;6,6;7,125;5,0;7,8;-1
92;2022;5;16;F;6;Privada;Ágata;6,957;9,2;7,1;5,0;7,4;6,667;5,0;8,036;-1
93;2022;5;15;F;6;Privada;Topázio;8,941;8,3;9,7;8,1;8,5;9,083;10,0;8,444;0
94;2022;5;15;F;4;Privada;Topázio;8,921;8,3;9,6;8,1;7,7;9,583;10,0;9,044;0
95;2022;5;17;F;0;Pública;Ágata;6,308;8,3;6,6;7,5;4,8;6,292;5,0;6,896;-2
96;2022;5;16;M;1;Pública;Ametista;7,54;9,2;7,8;6,9;6,7;8,5;5,0;8,3;-1
97;2022;5;15;F;5;Privada;Ametista;7,468;7,5;8,8;5,0;6,9;6,292;10,0;8,196;0
98;2022;5;15;F;5;Privada;Topázio;9,354;8,8;10,0;9,4;8,5;9,667;10,0;9,006;0
99;2022;5;16;M;3;Pública;Ágata;6,158;8,8;6,3;7,5;5,0;5,833;5,0;6,014;-1
100;2022;4;13;F;3;Privada;Ametista;7,618;8,8;7,8;5,0;7,6;7,25;10,0;7,08;1
101;2022;4;15;F;1;Pública;Ametista;7,305;7,9;8,3;7,5;7,6;6,833;5,0;7,184;-1
102;2022;4;14;M;3;Pública;Ágata;6,922;6,7;7,7;6,9;5,7;6,0;10,0;6,82;0
103;2022;4;13;F;2;Privada;Topázio;8,107;7,9;8,7;7,5;7,3;7,708;10,0;8,254;1
104;2022;4;18;M;0;Pública;Ágata;6,315;7,9;8,7;7,5;3,7;6,708;2,5;7,034;-4
105;2022;4;17;M;6;Privada;Ágata;6,846;7,9;8,2;5,6;6,7;7,417;2,5;7,826;-3
106;2022;4;15;F;6;Privada;Ametista;7,973;9,2;8,0;9,4;7,4;8,375;5,0;8,58;-1
107;2022;4;15;F;4;Pública;Ágata;6,258;7,5;6,4;7,5;4,6;6,5;5,0;7,58;-1
108;2022;4;17;F;3;Pública;Quartzo;5,547;4,6;7,7;5,0;5,0;6,125;2,5;5,72;-3
109;2022;4;16;M;1;Privada;Topázio;8,512;8,8;10,0;8,8;8,4;8,667;5,0;8,386;-2
110;2022;4;14;M;5;Privada;Topázio;8,15;9,2;9,7;5,6;6,7;8,0;10,0;7,9;0
111;2022;4;13;F;2;Privada;Topázio;8,646;7,5;9,4;8,1;8,0;8,667;10,0;8,726;1
112;2022;4;15;F;6;Privada;Ametista;7,836;7,9;7,8;6,3;8,5;8,833;5,0;8,894;-1
113;2022;4;15;F;5;Privada;Quartzo;3,032;0,0;0,0;5,0;3,7;3,792;5,0;5,336;-1
114;2022;4;16;M;0;Pública;Quartzo;5,894;7,9;6,3;7,5;5,3;5,0;5,0;5,34;-2
115;2022;4;16;F;3;Pública;Quartzo;5,886;8,3;6,8;6,3;3,8;5,583;5,0;6,894;-2
116;2022;4;16;F;3;Pública;Ágata;6,854;5,8;8,1;6,3;5,9;7,792;5,0;7,856;-2
117;2022;4;15;F;0;Pública;Ágata;6,685;7,9;6,3;6,9;6,1;7,417;5,0;7,416;-1
118;2022;4;14;F;1;Pública;Quartzo;5,597;0,0;5,3;6,3;3,9;6,958;10,0;7,354;0
119;2022;4;14;F;6;Privada;Ametista;7,501;8,3;8,2;5,6;5,4;7,875;10,0;8,16;0
120;2022;4;15;M;3;Pública;Ágata;6,825;8,3;5,9;7,5;6,2;7,667;5,0;7,916;-1
121;2022;4;16;F;1;Pública;Ametista;7,245;7,1;8,4;6,3;7,2;7,625;5,0;7,6;-2
122;2022;4;14;F;3;Pública;Quartzo;5,061;7,9;3,4;7,5;1,8;4,958;10,0;4,894;0
123;2022;4;16;M;5;Privada;Ametista;7,084;7,9;8,6;5,6;6,5;7,292;5,0;7,556;-2
124;2022;4;14;M;6;Privada;Ametista;7,388;7,9;7,8;5,0;6,7;7,167;10,0;7,646;0
125;2022;4;15;F;0;Pública;Ametista;7,619;8,8;8,5;7,5;7,1;7,75;5,0;8,19;-1
126;2022;4;15;M;4;Pública;Ágata;6,289;7,1;5,8;7,5;4,4;7,417;5,0;8,056;-1
127;2022;4;14;F;0;Pública;Topázio;8,283;7,5;8,7;7,5;7,9;8,125;10,0;8,38;0
128;2022;4;15;M;3;Pública;Quartzo;5,563;0,0;6,2;7,5;5,6;6,167;5,0;7,196;-1
129;2022;4;15;M;3;Pública;Ágata;6,926;6,7;6,4;7,5;6,7;7,792;5,0;8,276;-1
130;2022;4;16;F;4;Pública;Quartzo;5,624;8,3;4,7;5,0;4,1;6,5;5,0;7,34;-2
131;2022;4;15;F;6;Pública;Ametista;7,174;8,8;9,0;5,6;5,6;7,75;5,0;7,64;-1
132;2022;4;14;F;3;Privada;Topázio;8,355;10,0;8,8;5,6;7,7;8,458;10,0;8,034;0
133;2022;4;15;F;6;Pública;Ágata;6,875;7,9;7,1;7,5;5,6;7,625;5,0;7,7;-1
134;2022;4;15;F;1;Pública;Ágata;6,607;8,8;6,8;7,5;4,7;7,375;5,0;7,02;-1
135;2022;4;15;F;3;Pública;Ametista;7,692;8,3;7,8;5,6;8,6;8,583;5,0;8,054;-1
136;2022;4;15;M;3;Pública;Ágata;6,478;10,0;6,3;7,5;4,6;6,667;5,0;7,146;-1
137;2022;4;17;F;6;Privada;Ametista;7,056;7,5;8,9;5,0;7,3;7,792;2,5;7,576;-3
138;2022;4;15;M;6;Pública;Ágata;6,738;9,6;8,0;5,6;5,6;6,375;5,0;7,23;-1
139;2022;4;17;M;3;Pública;Quartzo;3,738;7,1;3,5;5,0;1,4;3,917;2,5;5,146;-3
140;2022;4;14;F;1;Pública;Ametista;7,407;7,9;7,6;6,9;5,7;7,667;10,0;7,336;0
141;2022;4;14;M;5;Pública;Ametista;7,118;9,2;8,2;5,6;5,7;5,917;10,0;6,746;0
142;2022;4;14;F;1;Pública;Ametista;7,457;6,7;8,6;5,6;6,3;7,583;10,0;7,304;0
143;2022;4;13;M;3;Privada;Topázio;8,638;8,3;9,9;5,6;7,9;9,5;10,0;7,88;1
144;2022;4;14;F;5;Privada;Topázio;8,181;7,5;9,3;5,0;7,9;8,292;10,0;8,326;0
145;2022;4;16;M;5;Pública;Quartzo;5,846;0,0;6,3;8,1;5,2;7,25;5,0;7,86;-2
146;2022;4;15;F;0;Pública;Ametista;7,947;8,3;9,2;7,5;7,9;8,208;5,0;8,054;-1
147;2022;4;14;F;0;Pública;Ametista;7,541;8,3;7,7;7,5;6,1;7,25;10,0;7,51;0
148;2022;4;14;M;0;Pública;Ametista;7,894;9,2;7,9;10,0;5,3;7,708;10,0;7,924;0
149;2022;4;15;F;0;Pública;Ágata;6,323;9,2;6,5;7,5;5,0;6,125;5,0;6,28;-1
150;2022;4;16;F;2;Pública;Ágata;6,962;9,6;6,3;6,9;6,9;7,333;5,0;7,054;-2
151;2022;4;16;F;2;Pública;Ametista;7,563;8,8;7,5;6,9;8,3;7,958;5,0;7,414;-2
152;2022;4;16;F;0;Pública;Ágata;6,712;8,3;7,0;7,5;6,5;6,292;5,0;6,736;-2
153;2022;4;14;F;4;Privada;Ametista;7,535;7,9;8,2;5,0;6,6;7,708;10,0;7,434;0
154;2022;4;15;M;5;Pública;Ágata;6,073;8,3;6,1;6,3;4,0;6,833;5,0;7,264;-1
155;2022;4;16;M;0;Pública;Ametista;7,051;10,0;8,3;7,5;5,2;6,833;5,0;7,344;-2
156;2022;4;15;M;4;Pública;Ametista;7,357;10,0;8,3;9,4;4,4;7,792;5,0;8,186;-1
157;2022;4;12;F;4;Privada;Topázio;8,317;7,5;10,0;6,3;7,7;8,292;10,0;7,386;1
158;2022;4;17;F;5;Privada;Ametista;7,302;7,9;9,8;5,6;6,6;8,125;2,5;7,97;-3
159;2022;4;15;F;1;Pública;Ágata;6,49;8,3;8,1;5,6;4,7;6,458;5,0;7,484;-1
160;2022;4;15;F;1;Pública;Ágata;6,746;7,5;7,2;5,6;5,3;8,25;5,0;7,86;-1
161;2022;4;11;F;4;Privada;Ametista;7,957;7,9;9,1;5,6;6,9;8,083;10,0;7,904;2
162;2022;4;14;F;1;Pública;Ametista;7,215;6,7;8,5;7,5;5,5;6,542;10,0;6,866;0
163;2022;4;15;F;1;Pública;Ágata;6,797;8,8;7,9;5,6;6,7;6,5;5,0;6,37;-1
164;2022;4;16;M;4;Pública;Ágata;6,776;8,3;7,3;5,6;6,5;7,208;5,0;6,844;-2
165;2022;4;14;F;5;Privada;Topázio;8,063;7,1;9,8;5,6;7,6;7,5;10,0;8,13;0
166;2022;4;14;M;2;Pública;Topázio;8,253;9,2;9,0;6,3;8,1;7,542;10,0;7,746;0
167;2022;4;16;F;4;Privada;Ametista;7,798;9,2;9,7;5,6;7,9;7,833;5,0;7,314;-2
168;2022;4;15;F;4;Privada;Ágata;6,917;7,9;8,3;6,3;5,9;7,083;5,0;7,404;-1
169;2022;4;15;F;4;Pública;Quartzo;5,159;7,5;5,1;6,3;3,2;4,792;5,0;6,606;-1
170;2022;4;14;F;4;Privada;Ágata;7,007;8,3;9,2;5,6;4,9;5,792;10,0;6,386;0
171;2022;4;16;M;0;Pública;Ágata;6,581;7,5;6,8;7,5;5,5;6,875;5,0;7,46;-2
172;2022;4;14;F;4;Privada;Topázio;8,673;9,2;8,9;9,4;7,3;8,917;10,0;7,896;0
173;2022;4;17;M;3;Privada;Ametista;7,816;8,3;9,2;6,9;7,9;9,25;2,5;7,76;-3
174;2022;4;15;F;3;Pública;Ágata;6,075;7,9;6,2;7,5;4,4;6,042;5,0;7,066;-1
175;2022;4;15;F;4;Privada;Ágata;6,75;8,3;9,2;5,6;5,9;5,833;5,0;6,734;-1
176;2022;3;13;F;4;Privada;Topázio;8,427;9,6;9,1;5,6;6,9;9,083;10,0;8,904;0
177;2022;3;13;F;0;Pública;Ametista;7,424;7,9;8,8;4,4;6,8;6,958;10,0;6,824;0
178;2022;3;13;F;6;Privada;Ágata;7,025;0,0;8,8;4,4;6,3;8,458;10,0;8,734;0
179;2022;3;12;M;0;Pública;Ametista;7,993;7,5;9,2;7,5;6,1;8,042;10,0;8,246;0
180;2022;3;12;M;4;Privada;Topázio;8,442;9,2;8,3;6,3;8,1;8,625;10,0;8,87;0
181;2022;3;13;F;3;Privada;Topázio;8,623;9,2;9,5;8,8;6,8;8,458;10,0;8,714;0
182;2022;3;16;F;1;Pública;Ágata;6,328;7,5;8,0;7,5;4,1;6,958;2,5;7,664;-3
183;2022;3;13;F;0;Pública;Ametista;7,3;8,3;8,8;7,5;3,8;7,25;10,0;7,5;0
184;2022;3;16;M;3;Pública;Ametista;7,28;8,8;7,7;7,5;7,2;8,0;2,5;8,2;-3
185;2022;3;15;M;1;Pública;Ágata;6,615;7,9;7,7;7,5;4,5;6,875;5,0;7,6;-2
186;2022;3;13;F;3;Pública;Ametista;7,832;8,3;8,5;7,5;6,6;7,5;10,0;7,32;0
187;2022;3;12;F;3;Privada;Ametista;7,928;8,8;8,9;7,5;5,8;7,917;10,0;7,746;0
188;2022;3;14;M;1;Pública;Quartzo;5,307;0,0;6,1;7,5;2,7;7,583;5,0;7,804;-1
189;2022;3;14;M;4;Privada;Ametista;7,629;10,0;9,7;5,0;7,2;7,333;5,0;7,824;-1
190;2022;3;13;F;0;Pública;Ametista;7,335;6,7;6,9;8,8;6,3;7,25;10,0;6,95;0
191;2022;3;13;M;3;Privada;Topázio;8,74;10,0;9,4;8,8;7,2;8,5;10,0;8,4;0
192;2022;3;15;M;1;Pública;Quartzo;4,932;8,8;3,6;7,5;2,7;4,708;5,0;6,004;-2
193;2022;3;12;M;6;Privada;Topázio;8,155;9,2;8,9;5,6;6,7;8,5;10,0;8,55;0
194;2022;3;14;F;0;Pública;Quartzo;4,265;0,0;6,2;5,0;3,2;3,75;5,0;6,35;-1
195;2022;3;13;F;5;Privada;Ametista;8,017;8,8;9,2;5,0;6,3;8,25;10,0;8,87;0
196;2022;3;12;M;4;Privada;Topázio;8,124;9,2;9,1;7,5;5,1;8,625;10,0;8,89;0
197;2022;3;13;F;1;Privada;Topázio;8,218;8,8;9,7;4,4;7,3;8,292;10,0;8,396;0
198;2022;3;13;M;5;Pública;Quartzo;5,554;0,0;6,2;5,0;4,6;5,958;10,0;7,024;0
199;2022;3;13;M;0;Pública;Ametista;7,564;8,3;7,1;7,5;7,5;6,458;10,0;7,724;0
200;2022;3;15;M;4;Privada;Quartzo;5,705;7,9;5,6;4,4;5,5;4,917;5,0;7,716;-2
201;2022;3;15;F;1;Pública;Ametista;7,078;7,9;7,3;7,5;6,5;7,542;5,0;7,696;-2
202;2022;3;14;F;5;Pública;Quartzo;5,201;0,0;5,2;4,4;5,4;6,917;5,0;7,576;-1
203;2022;3;14;F;1;Pública;Quartzo;5,669;8,8;4,3;7,5;2,8;6,875;5,0;7,44;-1
204;2022;3;13;F;3;Pública;Ágata;6,943;7,9;6,7;4,4;7,4;5,708;10,0;7,514;0
205;2022;3;14;M;2;Pública;Quartzo;5,372;9,6;3,8;7,5;4,1;4,833;5,0;6,154;-1
206;2022;3;12;F;0;Pública;Ametista;7,101;8,3;8,8;7,5;5,0;5,167;10,0;7,276;0
207;2022;3;16;M;1;Pública;Quartzo;4,936;0,0;4,8;7,5;5,8;5,708;2,5;6,744;-3
208;2022;3;14;M;4;Pública;Ágata;6,667;7,5;7,1;7,5;6,1;6,417;5,0;7,436;-1
209;2022;3;14;M;3;Pública;Quartzo;4,499;0,0;4,8;5,6;6,0;3,75;5,0;5,29;-1
210;2022;3;14;M;0;Pública;Quartzo;4,44;0,0;5,1;7,5;3,4;4,417;5,0;6,066;-1
211;2022;3;13;M;1;Pública;Topázio;8,465;9,2;8,8;7,5;7,6;8,458;10,0;8,234;0
212;2022;3;14;M;0;Pública;Ametista;7,268;9,6;8,4;7,5;6,2;6,958;5,0;7,464;-1
213;2022;3;13;M;0;Pública;Ametista;7,209;9,6;8,7;7,5;3,5;6,833;10,0;6,924;0
214;2022;3;15;M;0;Pública;Quartzo;4,87;0,0;6,1;7,5;4,3;5,125;5,0;5,15;-2
215;2022;3;13;F;1;Pública;Ametista;7,172;6,7;5,8;7,5;7,8;6,542;10,0;7,236;0
216;2022;3;13;F;4;Pública;Ametista;7,502;7,9;8,5;7,5;7,0;5,583;10,0;7,454;0
217;2022;3;15;F;1;Pública;Ametista;7,397;7,9;8,5;7,5;7,1;7,292;5,0;7,786;-2
218;2022;3;14;F;0;Pública;Ágata;6,1;6,3;7,3;7,5;4,0;6,125;5,0;7,35;-1
219;2022;3;16;M;3;Pública;Quartzo;5,942;8,8;6,9;7,5;3,5;6,375;2,5;7,07;-3
220;2022;3;13;F;0;Pública;Ágata;7,028;0,0;8,1;7,5;6,5;7,833;10,0;7,914;0
221;2022;3;14;M;0;Pública;Ágata;6,892;9,6;8,5;7,5;5,2;6,0;5,0;7,42;-1
222;2022;3;15;F;3;Pública;Quartzo;5,604;7,1;4,6;7,5;6,2;4,917;5,0;5,006;-2
223;2022;3;13;F;0;Pública;Quartzo;4,966;0,0;4,6;7,5;3,1;5,583;10,0;5,594;0
224;2022;3;13;M;1;Pública;Quartzo;5,671;9,6;4,3;7,5;2,6;4,875;10,0;6,06;0
225;2022;3;14;M;0;Pública;Quartzo;5,918;8,3;5,3;7,5;5,0;5,708;5,0;6,364;-1
226;2022;3;14;F;0;Pública;Ágata;6,549;7,5;6,1;7,5;6,8;6,208;5,0;7,274;-1
227;2022;3;12;M;0;Pública;Ágata;6,471;9,2;6,4;7,5;3,3;5,833;10,0;6,944;0
228;2022;3;15;F;5;Pública;Ágata;6,196;7,5;6,7;7,5;4,8;6,417;5,0;6,126;-2
229;2022;3;12;M;0;Pública;Topázio;8,62;10,0;9,4;7,5;6,9;8,5;10,0;9,1;0
230;2022;3;14;M;0;Pública;Ágata;6,328;7,9;5,1;7,5;5,7;6,75;5,0;7,78;-1
231;2022;3;14;M;0;Pública;Ágata;6,116;8,8;7,4;7,5;3,8;5,333;5,0;6,794;-1
232;2022;3;12;M;0;Pública;Quartzo;4,245;0,0;4,9;7,5;0,0;4,542;10,0;6,066;0
233;2022;3;14;M;0;Pública;Ágata;6,051;7,9;7,4;7,5;3,8;5,5;5,0;6,71;-1
234;2022;3;13;M;0;Pública;Ágata;6,719;10,0;7,6;5,6;4,3;5,583;10,0;6,624;0
235;2022;3;14;F;0;Pública;Ágata;6,79;8,3;7,3;7,5;6,3;6,417;5,0;7,066;-1
236;2022;3;12;F;0;Pública;Ametista;7,11;9,6;7,5;7,5;3,7;7,208;10,0;7,184;0
237;2022;3;14;F;0;Pública;Topázio;8,084;10,0;9,0;7,5;7,8;8,417;5,0;7,906;-1
238;2022;3;14;F;1;Pública;Ágata;6,331;8,8;6,4;5,0;5,1;7,208;5,0;7,094;-1
239;2022;3;15;F;1;Pública;Quartzo;4,572;0,0;3,7;7,5;3,7;5,958;5,0;6,504;-2
240;2022;3;13;F;5;Privada;Ágata;6,943;7,1;8,1;5,0;4,7;7,042;10,0;7,646;0
241;2022;3;14;M;6;Privada;Topázio;8,468;10,0;10,0;7,5;7,7;9,125;5,0;8,53;-1
